split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
profile,memory_short,memory_short,qam16_bw20_bo070,41,1,43240.5443551904,890.1789404468,7.28121813249002,-134.380746337376,5,1,42972.1655414202,621.8001266766005,7.27072150879551,-134.384007893639,14,42350.3654147436,0.0,7.23714268635934,-134.287099736755,5,42350.3654147436,583,113,263560,0,5,100,local_search,14,42350.3654147436,0.0,7.23714268635934,-134.287099736755,621.8001266766005,1
profile,memory_short,memory_short,qam16_bw20_bo070,53,1,43398.167627761,399.3541746401024,8.3823528856849,-142.553052047289,5,1,43156.283778306,157.4703251851024,8.37389538530624,-142.554019744202,14,42998.8134531209,0.0,8.3610045263652,-142.942570817877,5,42998.8134531209,210,1,304430,0,5,100,local_search,14,42998.8134531209,0.0,8.3610045263652,-142.942570817877,157.4703251851024,1
profile,memory_short,memory_short,qam16_bw20_bo070,67,1,34955.0515706086,568.0900862479975,8.33129329300487,-133.062419840959,5,1,34706.6205567622,319.6590724015987,8.32486294613323,-133.060139363579,14,34386.9614843606,0.0,8.31051613733233,-133.019425335256,5,34386.9614843606,93,7,243983,0,5,100,local_search,14,34386.9614843606,0.0,8.31051613733233,-133.019425335256,319.6590724015987,1
profile,memory_short,memory_short,qam16_bw40_bo058,41,1,26562.1416154362,11.538064388802013,4.60280073705046,-144.301908890763,2,1,26622.0609682,71.4574171526001,4.6039600592255,-144.294429078691,14,26629.7623299928,79.15877894539881,4.59855181060483,-144.318994945241,5,26550.6035510474,0,0,251351,5,5,100,direct,1,26622.0609682,71.4574171526001,4.6039600592255,-144.294429078691,71.4574171526001,1
profile,memory_short,memory_short,qam16_bw40_bo058,53,1,28450.9992734748,28.61743690970252,5.91177048669755,-144.379241130859,2,1,28514.7953777065,92.41354114140267,5.91500638836758,-144.365592432546,14,28422.3818365651,0.0,5.91539698056408,-144.324276213945,2,28422.3818365651,64,5,253204,3,5,100,local_search,14,28422.3818365651,0.0,5.91539698056408,-144.324276213945,92.41354114140267,1
profile,memory_short,memory_short,qam16_bw40_bo058,67,1,28094.2517895834,88.38378636500056,6.03297779645681,-147.783736371758,2,1,28182.4680469016,176.60004368320006,6.03540517759207,-147.778103736295,14,28120.313704433,114.44570121460129,6.02891551982036,-147.75863332778,5,28005.8680032184,0,0,254630,5,5,100,direct,1,28182.4680469016,176.60004368320006,6.03540517759207,-147.778103736295,176.60004368320006,0
profile,memory_short,memory_short,qam16_bw40_bo070,41,1,37706.1606534845,841.2789724277973,5.08829500705968,-143.938342079892,5,1,37454.3016052935,589.4199242367977,5.0753753696269,-143.944406184161,14,36866.5172799065,1.6355988497962244,5.04386673413899,-143.972286030412,1,36864.8816810567,432,5,248575,0,5,100,local_search,14,36866.5172799065,1.6355988497962244,5.04386673413899,-143.972286030412,589.4199242367977,1
profile,memory_short,memory_short,qam16_bw40_bo070,53,1,37902.574477937,1043.0767420476986,6.32382480631224,-143.931592129104,5,1,37606.5419336381,747.0441977488008,6.31041977962415,-143.941263504534,14,36859.4977358893,0.0,6.28689120549369,-143.910779813463,5,36859.4977358893,642,8,369760,0,5,100,local_search,14,36859.4977358893,0.0,6.28689120549369,-143.910779813463,747.0441977488008,1
profile,memory_short,memory_short,qam16_bw40_bo070,67,1,40158.2536627915,946.1447230578997,6.46962179376687,-147.551873708855,5,1,39815.7570422798,603.6481025461981,6.45516814807138,-147.555288607999,14,39212.1089397336,0.0,6.42513880255263,-147.540700762154,5,39212.1089397336,504,10,263705,0,5,100,local_search,14,39212.1089397336,0.0,6.42513880255263,-147.540700762154,603.6481025461981,1
profile,memory_short,memory_short,qam64_bw20_bo058,41,1,28841.4770076685,183.0114194589005,7.31202789285715,-135.236158272821,2,1,28909.4764267106,251.01083850099894,7.31457943512664,-135.238646051139,14,28724.5384367478,66.07284853819874,7.30078153383667,-135.108997070149,3,28658.4655882096,199,3,388338,0,5,100,local_search,14,28724.5384367478,66.07284853819874,7.30078153383667,-135.108997070149,251.01083850099894,1
