split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
waveform,qam64_bw20_bo070,gain_high,qam64_bw20_bo070,41,1,41435.4196483116,982.2402881277012,7.75539507279731,-135.407750997285,5,1,41174.0157667495,720.8364065655987,7.74501615486986,-135.405782622626,14,40453.1793601839,0.0,7.70852632281062,-135.265034399812,5,40453.1793601839,157,3,1673967,0,5,100,local_search,14,40453.1793601839,0.0,7.70852632281062,-135.265034399812,720.8364065655987,1
waveform,qam64_bw20_bo070,gain_high,qam64_bw20_bo070,53,1,35100.5634061188,273.2619697767004,8.09535921528366,-138.219859088199,5,1,34971.2775060276,143.976069685501,8.09199539211228,-138.218341166641,14,34827.3014363421,0.0,8.07834321477204,-138.36084912843,5,34827.3014363421,23,3,1069947,0,5,100,local_search,14,34827.3014363421,0.0,8.07834321477204,-138.36084912843,143.976069685501,1
waveform,qam64_bw20_bo070,gain_high,qam64_bw20_bo070,67,1,42781.9196459586,741.2496445108991,8.18080205923966,-143.060953830768,5,1,42485.9203804504,445.2503790026967,8.16999755118883,-143.054188548351,14,42040.6700014477,0.0,8.15562205912247,-142.818985841613,5,42040.6700014477,112,166,1776559,3,5,100,local_search,14,42040.6700014477,0.0,8.15562205912247,-142.818985841613,445.2503790026967,1
waveform,qam64_bw20_bo070,gain_low,qam64_bw20_bo070,41,1,33905.6947619639,252.3836958200045,7.44532826790801,-135.325251884425,5,1,33834.8526868945,181.54162075059867,7.44277205028222,-135.323252866288,14,33728.8342577052,75.52319156130397,7.43130579921105,-135.191287658588,3,33653.3110661439,358,4,1628141,0,5,100,local_search,14,33728.8342577052,75.52319156130397,7.43130579921105,-135.191287658588,181.54162075059867,1
waveform,qam64_bw20_bo070,gain_low,qam64_bw20_bo070,53,1,34497.7819137531,378.2488676981957,8.07637501550035,-138.130939709044,5,1,34592.9061260234,473.37307996849995,8.07907514480531,-138.129316926347,14,34336.8530447098,217.3199986549007,8.06281164475849,-138.277436082729,2,34119.5330460549,309,4,1059980,0,5,100,local_search,14,34336.8530447098,217.3199986549007,8.06281164475849,-138.277436082729,473.37307996849995,1
waveform,qam64_bw20_bo070,gain_low,qam64_bw20_bo070,67,1,35400.1506139545,-28.635011088801548,7.92084277160151,-142.932858306448,5,1,35348.8639738558,-79.92165118750563,7.91948025094677,-142.924219684394,14,35444.1052332942,15.319608250894817,7.92736076747728,-142.688921351657,1,35428.7856250433,248,15,1606923,0,5,100,local_search,14,35444.1052332942,15.319608250894817,7.92736076747728,-142.688921351657,-79.92165118750563,1
waveform,qam64_bw20_bo070,gain_mid_low,qam64_bw20_bo070,41,1,35889.6534420068,611.9287839034951,7.53084610344166,-135.365121803548,5,1,35714.5409874586,436.8163293552934,7.52456161977416,-135.363145495458,14,35277.7246581033,0.0,7.50052384316992,-135.225511404028,5,35277.7246581033,274,3,1673739,0,5,100,local_search,14,35277.7246581033,0.0,7.50052384316992,-135.225511404028,436.8163293552934,1
waveform,qam64_bw20_bo070,gain_mid_low,qam64_bw20_bo070,53,1,33361.4995235404,50.36165476399765,8.04827894195239,-138.172489786421,5,1,33350.3746413324,39.23677255599614,8.0481427383642,-138.170922732222,14,33315.7839171243,4.646048347902251,8.03767398198414,-138.315585701619,1,33311.1378687764,174,5,1062540,0,5,100,local_search,14,33315.7839171243,4.646048347902251,8.03767398198414,-138.315585701619,39.23677255599614,1
waveform,qam64_bw20_bo070,gain_mid_low,qam64_bw20_bo070,67,1,36860.8402296831,381.8830456789947,7.97151880874688,-142.99181843271,5,1,36674.4927935901,195.535609585997,7.965646838665,-142.984013494748,14,36478.9571840041,0.0,7.9628411173573,-142.74849470061,5,36478.9571840041,0,0,1510634,3,5,100,local_search,14,36478.9571840041,0.0,7.9628411173573,-142.74849470061,195.535609585997,1
waveform,qam64_bw20_bo070,memory_short,qam64_bw20_bo070,41,1,39533.6836502974,1062.2995256237991,7.6913973793545,-135.372908481026,5,1,39238.3099404219,766.9258157483055,7.68010466807336,-135.371024815612,14,38471.3841246736,0.0,7.64344981554535,-135.232151322739,5,38471.3841246736,154,26,1721515,0,5,100,local_search,14,38471.3841246736,0.0,7.64344981554535,-135.232151322739,766.9258157483055,1
waveform,qam64_bw20_bo070,memory_short,qam64_bw20_bo070,53,1,31909.2647502246,276.50939034199837,8.01504945477412,-138.172023841504,5,1,31748.1073801261,115.35202024349928,8.01112036195427,-138.170412800424,14,31632.7553598826,0.0,7.9966674649853,-138.309927820164,5,31632.7553598826,0,0,1068414,5,5,100,direct,1,31748.1073801261,115.35202024349928,8.01112036195427,-138.170412800424,115.35202024349928,0
waveform,qam64_bw20_bo070,memory_short,qam64_bw20_bo070,67,1,41234.3554047323,831.9248207363999,8.13098777729679,-143.133581285707,5,1,40900.0744883165,497.64390432060463,8.11910984297622,-143.127169725025,14,40402.4305839959,0.0,8.10152553516063,-142.890641296418,5,40402.4305839959,0,0,1518824,5,5,100,direct,1,40900.0744883165,497.64390432060463,8.11910984297622,-143.127169725025,497.64390432060463,0
waveform,qam64_bw20_bo070,noise_high,qam64_bw20_bo070,41,1,56555.8033585011,787.5610731311026,8.16186855347834,-135.624930431527,5,1,56393.6255012078,625.3832158378063,8.15317279191688,-135.622914667667,14,55768.24228537,0.0,8.08007343064255,-134.87662226233,5,55768.24228537,682,3,1801971,0,5,100,local_search,14,55768.24228537,0.0,8.08007343064255,-134.87662226233,625.3832158378063,1
